Index,Minute,Team,Player,Position,Type,Shot outcome,Origin_Xcoord,Origin_Ycoord,Destination_Xcoord,Destination_Ycoord,Pass_Recipient
2080,53,France,Dayotchanculle Upamecano,Left Center Back,Pass,,63.4,31.8,70.6,13.8,Kylian Mbappé Lottin
2083,53,France,Kylian Mbappé Lottin,Center Forward,Pass,,74.1,15.1,76.9,18.1,
2088,54,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,80.7,19.8,94,2.3,Theo Bernard François Hernández
2091,54,France,Theo Bernard François Hernández,Left Back,Pass,,94,2.3,90.1,9.8,Aurélien Djani Tchouaméni
2095,54,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,90.1,12.1,100,15.3,Theo Bernard François Hernández
2099,54,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,22.5,71.8,31.3,77.8,Enzo Fernandez
2103,54,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,31.3,77.2,40,73.3,Rodrigo Javier De Paul
2110,55,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,53.5,76.5,33,72.9,Cristian Gabriel Romero
2114,55,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,35.5,72.7,63.8,36.7,Alexis Mac Allister
2117,55,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,64.2,37,76.6,26,
2118,56,France,Jules Koundé,Right Back,Pass,,43.5,54.1,57.8,57,Randal Kolo Muani
2124,56,France,Jules Koundé,Right Back,Pass,,59.1,57.3,63.2,65.2,Aurélien Djani Tchouaméni
2126,56,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,63.2,65.2,52.9,37.8,Dayotchanculle Upamecano
2129,56,France,Dayotchanculle Upamecano,Left Center Back,Pass,,52.7,33.9,62.5,6.4,Theo Bernard François Hernández
2132,56,France,Theo Bernard François Hernández,Left Back,Pass,,61.9,3.1,62.1,11.7,Adrien Rabiot
2136,56,France,Adrien Rabiot,Left Defensive Midfield,Pass,,64.4,10.6,56.5,2.3,Theo Bernard François Hernández
2138,56,France,Theo Bernard François Hernández,Left Back,Pass,,56.5,2.3,40.9,13,Dayotchanculle Upamecano
2141,56,France,Dayotchanculle Upamecano,Left Center Back,Pass,,40.9,15.5,42.4,49.6,Raphaël Varane
2143,56,France,Raphaël Varane,Right Center Back,Pass,,42.4,49.6,37.9,20.9,Dayotchanculle Upamecano
2146,56,France,Dayotchanculle Upamecano,Left Center Back,Pass,,47.5,29.7,62.7,69.2,Jules Koundé
2149,56,France,Jules Koundé,Right Back,Pass,,114.7,73.5,115.1,70.1,
2158,57,France,Jules Koundé,Right Back,Pass,,114.5,80,111.9,63.5,Randal Kolo Muani
2162,57,France,Randal Kolo Muani,Right Wing,Pass,,112.6,63.9,94.6,50.4,Adrien Rabiot
2165,57,France,Adrien Rabiot,Left Defensive Midfield,Pass,,94.6,50.4,80.7,68.2,Raphaël Varane
2169,57,France,Raphaël Varane,Right Center Back,Pass,,72.1,66.9,29.4,51.5,Hugo Lloris
2172,57,France,Hugo Lloris,Goalkeeper,Pass,,30.9,50.4,45.8,22.6,Dayotchanculle Upamecano
2175,57,France,Dayotchanculle Upamecano,Left Center Back,Pass,,47.3,22.6,63.4,3.4,Theo Bernard François Hernández
2178,57,France,Theo Bernard François Hernández,Left Back,Pass,,45.4,2.9,56.7,9.1,Kylian Mbappé Lottin
2184,57,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,58.4,67.1,63.8,74.6,Rodrigo Javier De Paul
2191,58,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,67.6,71.8,63.1,76.1,Nahuel Molina Lucero
2195,58,Argentina,Nahuel Molina Lucero,Right Back,Pass,,63.4,74.2,89.9,11.9,
2196,58,France,Jules Koundé,Right Back,Pass,,30.2,68.2,40.7,68.6,Randal Kolo Muani
2198,58,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,79.4,11.5,82.8,16,Ángel Fabián Di María Hernández
2201,58,Argentina,Ángel Fabián Di María Hernández,Left Wing,Pass,,84.7,20.3,98.2,26.7,Julián Álvarez
2204,58,Argentina,Julián Álvarez,Center Forward,Shot,Saved,110.5,24.9,119.4,35.8,
2206,58,France,Hugo Lloris,Goalkeeper,Pass,,7.8,44.4,50.5,25.2,Dayotchanculle Upamecano
2208,58,France,Dayotchanculle Upamecano,Left Center Back,Pass,,50.5,22.8,44.3,37.2,Raphaël Varane
2211,58,France,Raphaël Varane,Right Center Back,Pass,,45.2,42.1,49.7,23,Dayotchanculle Upamecano
2214,58,France,Dayotchanculle Upamecano,Left Center Back,Pass,,52,22.4,55.7,5.5,Theo Bernard François Hernández
2217,58,France,Theo Bernard François Hernández,Left Back,Pass,,55.5,5.5,94,26.2,Kylian Mbappé Lottin
2219,59,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,29.6,48.5,81.1,5.9,
2220,59,France,Jules Koundé,Right Back,Pass,,39,74.2,45.8,64.3,Randal Kolo Muani
2223,59,France,Randal Kolo Muani,Right Wing,Pass,,46.5,63.7,44.1,59.6,Aurélien Djani Tchouaméni
2225,59,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,44.1,59.6,62.5,66.5,Randal Kolo Muani
2227,59,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,57.6,13.6,76.6,8.9,Ángel Fabián Di María Hernández
2231,59,Argentina,Ángel Fabián Di María Hernández,Left Wing,Pass,,112.1,22.4,106.6,37,Lionel Andrés Messi Cuccittini
2235,59,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Shot,Off T,109.7,46,120,45.5,
2237,60,France,Hugo Lloris,Goalkeeper,Pass,,6,36,83.7,65,Randal Kolo Muani
2239,60,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,36.4,15.1,39.4,22,Enzo Fernandez
2241,60,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,39.4,22,70.6,20.1,Julián Álvarez
2245,60,France,Dayotchanculle Upamecano,Left Center Back,Pass,,50.8,60.3,66.4,11.3,Theo Bernard François Hernández
2248,61,Argentina,Nahuel Molina Lucero,Right Back,Pass,,40.3,80,46.5,73.3,Rodrigo Javier De Paul
2250,61,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,46.5,73.3,37.3,77.6,Nahuel Molina Lucero
2253,61,Argentina,Nahuel Molina Lucero,Right Back,Pass,,37.3,77.6,37,69,Enzo Fernandez
2255,61,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,36.4,69.3,46.5,75.5,Rodrigo Javier De Paul
2258,61,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,45.4,74.2,70.6,80,Lionel Andrés Messi Cuccittini
2260,61,France,Theo Bernard François Hernández,Left Back,Pass,,52,0.1,48.4,6.4,Dayotchanculle Upamecano
2262,61,France,Dayotchanculle Upamecano,Left Center Back,Pass,,34.5,12.1,36.4,35.9,Raphaël Varane
2265,61,France,Raphaël Varane,Right Center Back,Pass,,36.2,38.9,32.1,60.7,Jules Koundé
2268,61,France,Jules Koundé,Right Back,Pass,,32.1,60.7,14,38.2,Hugo Lloris
2271,61,France,Hugo Lloris,Goalkeeper,Pass,,14,38,24.7,25.6,Dayotchanculle Upamecano
2274,61,France,Dayotchanculle Upamecano,Left Center Back,Pass,,36.9,25.6,44.3,4,Theo Bernard François Hernández
2277,61,France,Theo Bernard François Hernández,Left Back,Pass,,49.3,3.6,64,3.6,Marcus Thuram
2280,61,France,Marcus Thuram,Left Wing,Pass,,64.2,3.4,67.4,9.3,Adrien Rabiot
2284,61,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,42.2,68.2,46.7,74.4,
2287,61,France,Marcus Thuram,Left Wing,Pass,,85.4,21.1,85.6,35,Antoine Griezmann
2290,61,France,Antoine Griezmann,Center Attacking Midfield,Pass,,85.4,32,105.1,14.9,Theo Bernard François Hernández
2293,61,France,Theo Bernard François Hernández,Left Back,Pass,,104.9,14.9,113.2,36.1,
2295,62,France,Theo Bernard François Hernández,Left Back,Pass,,86,0.1,77.1,16.2,Aurélien Djani Tchouaméni
2298,62,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,77.1,16.2,68.5,49.3,Raphaël Varane
2301,62,France,Raphaël Varane,Right Center Back,Pass,,80.5,58.5,90.5,54.3,Randal Kolo Muani
2307,62,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,57.8,35.5,57.8,45.5,Lionel Andrés Messi Cuccittini
2310,62,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,64,43.4,90.5,25.8,Julián Álvarez
2312,62,Argentina,Julián Álvarez,Center Forward,Pass,,90.5,25.6,111.9,43.6,Alexis Mac Allister
2316,62,France,Jules Koundé,Right Back,Pass,,19.3,50.2,32.4,25.8,Adrien Rabiot
2319,62,France,Adrien Rabiot,Left Defensive Midfield,Pass,,35.1,21.5,55.9,23.5,Marcus Thuram
2323,62,France,Marcus Thuram,Left Wing,Pass,,53.5,25.4,51,31.4,Antoine Griezmann
2329,62,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,52.5,26.5,57.4,11.9,Theo Bernard François Hernández
2331,62,France,Theo Bernard François Hernández,Left Back,Pass,,61.2,7.8,71.3,2.5,Kylian Mbappé Lottin
2334,62,France,Kylian Mbappé Lottin,Center Forward,Pass,,71.3,2.5,68.1,14.3,Antoine Griezmann
2337,63,France,Antoine Griezmann,Center Attacking Midfield,Pass,,73.4,16.2,84.3,14.9,Adrien Rabiot
2340,63,France,Adrien Rabiot,Left Defensive Midfield,Pass,,84.3,14.7,89.5,9.6,Kylian Mbappé Lottin
2343,63,France,Kylian Mbappé Lottin,Center Forward,Pass,,97.6,17.7,102.7,17.5,Antoine Griezmann
2346,63,France,Adrien Rabiot,Left Defensive Midfield,Pass,,92,9.8,83.7,14.7,Aurélien Djani Tchouaméni
2349,63,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,76.4,23,113.6,63.2,Jules Koundé
2356,64,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,7,36.1,71.5,13.6,
2359,64,France,Randal Kolo Muani,Right Wing,Pass,,48.6,66.5,62.9,69.7,
2362,64,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,56.9,10.4,57.2,20.7,Enzo Fernandez
2366,64,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,57.2,20.7,40,17.7,Nicolás Hernán Otamendi
2369,64,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,40,18.3,34.5,29.9,Cristian Gabriel Romero
2373,64,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,35.1,30.1,35.5,14.7,Nicolás Hernán Otamendi
2376,64,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,35.5,12.6,46.2,4,Nicolás Alejandro Tagliafico
2380,64,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,46.2,5.1,71.3,22,Julián Álvarez
2382,64,Argentina,Julián Álvarez,Center Forward,Pass,,71.3,22,68.3,29.3,Lionel Andrés Messi Cuccittini
2385,64,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,74.7,19.8,87.1,5.3,Marcos Javier Acuña
2388,64,Argentina,Marcos Javier Acuña,Left Wing,Pass,,87.1,5.3,82,17.7,Alexis Mac Allister
2396,64,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,94.6,19.2,102.1,14.1,Marcos Javier Acuña
2399,64,Argentina,Marcos Javier Acuña,Left Wing,Pass,,102.9,14.1,93.1,10.9,Lionel Andrés Messi Cuccittini
2402,64,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,97.8,9.6,100.1,24.3,Alexis Mac Allister
2405,64,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,100.4,24.3,104.4,26,
2407,64,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,6.7,54.3,1.8,47,Hugo Lloris
2409,64,France,Hugo Lloris,Goalkeeper,Pass,,1.8,47,29.4,64.1,
2410,64,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,90.7,16,105.9,15.6,
2413,64,France,Jules Koundé,Right Back,Pass,,5.4,70.9,7.8,71.2,
2415,65,France,Hugo Lloris,Goalkeeper,Pass,,6,44,80.1,60.3,
2416,65,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,40,19.8,57.2,28,
2418,65,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,62.9,52.1,74.3,47.4,Antoine Griezmann
2420,65,France,Antoine Griezmann,Center Attacking Midfield,Pass,,74.3,47.4,62.5,42.5,Adrien Rabiot
2424,65,France,Adrien Rabiot,Left Defensive Midfield,Pass,,53.3,38.2,45.6,49.8,Raphaël Varane
2427,65,France,Raphaël Varane,Right Center Back,Pass,,45.6,49.8,57.4,6.4,Theo Bernard François Hernández
2430,65,France,Theo Bernard François Hernández,Left Back,Pass,,63.2,5.9,54.4,13.6,Adrien Rabiot
2433,65,France,Adrien Rabiot,Left Defensive Midfield,Pass,,53.3,15.1,48.8,25.6,Dayotchanculle Upamecano
2436,65,France,Dayotchanculle Upamecano,Left Center Back,Pass,,53.1,29.2,106.8,15.5,Kylian Mbappé Lottin
2439,65,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,20.1,64.6,6.9,65.6,Nahuel Molina Lucero
2441,65,Argentina,Nahuel Molina Lucero,Right Back,Pass,,6.7,65.6,14.2,80,
2442,65,France,Antoine Griezmann,Center Attacking Midfield,Pass,,105.9,0.1,89.7,5.3,Theo Bernard François Hernández
2444,65,France,Theo Bernard François Hernández,Left Back,Pass,,89.7,5.3,89.5,11.3,Adrien Rabiot
2447,65,France,Adrien Rabiot,Left Defensive Midfield,Pass,,92.9,10,102.9,2.7,Antoine Griezmann
2450,66,France,Antoine Griezmann,Center Attacking Midfield,Pass,,107.2,3.1,117.3,73.9,Randal Kolo Muani
2452,66,France,Randal Kolo Muani,Right Wing,Pass,,117.3,73.9,105.5,76.1,Jules Koundé
2455,66,France,Jules Koundé,Right Back,Pass,,105.7,76.1,109.1,74.8,Randal Kolo Muani
2457,66,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,11,5.3,16.1,10.2,Marcos Javier Acuña
2471,66,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,3,8.9,33.6,19.6,
2475,66,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,87.3,65.8,62.9,62.4,Raphaël Varane
2478,66,France,Raphaël Varane,Right Center Back,Pass,,52.7,53.4,23.4,34.2,Hugo Lloris
2481,66,France,Hugo Lloris,Goalkeeper,Pass,,23.2,34.2,33,55.3,Raphaël Varane
2484,66,France,Raphaël Varane,Right Center Back,Pass,,33.2,57.7,47.1,63.9,Aurélien Djani Tchouaméni
2487,66,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,49.9,68.4,64,76.1,Jules Koundé
2490,66,France,Jules Koundé,Right Back,Pass,,64,76.1,41.8,58.3,Raphaël Varane
2493,66,France,Raphaël Varane,Right Center Back,Pass,,42.8,57,54.4,51.7,Antoine Griezmann
2496,66,France,Antoine Griezmann,Center Attacking Midfield,Pass,,54.4,51.7,48.2,25.2,Dayotchanculle Upamecano
2499,66,France,Dayotchanculle Upamecano,Left Center Back,Pass,,48.2,25.8,63.4,19.2,Antoine Griezmann
2503,66,France,Antoine Griezmann,Center Attacking Midfield,Pass,,64.2,18.1,75.4,3.6,Theo Bernard François Hernández
2505,66,France,Theo Bernard François Hernández,Left Back,Pass,,75.4,3.6,75.1,9.8,Antoine Griezmann
2508,66,France,Antoine Griezmann,Center Attacking Midfield,Pass,,75.1,9.8,94.2,3.4,Theo Bernard François Hernández
2511,66,France,Theo Bernard François Hernández,Left Back,Pass,,93.7,3.6,107.9,36.3,Marcus Thuram
2514,67,France,Antoine Griezmann,Center Attacking Midfield,Pass,,120,0.1,113.4,34.6,Randal Kolo Muani
2517,67,France,Randal Kolo Muani,Right Wing,Shot,Off T,113.4,34.6,120,31.5,
2519,68,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,7,44.1,74.7,30.1,
2520,68,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,45.4,50,67.7,39.9,Marcus Thuram
2523,68,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,52.4,40.2,64.9,44.7,Rodrigo Javier De Paul
2527,68,France,Adrien Rabiot,Left Defensive Midfield,Pass,,54.4,28,64.7,17.5,Kylian Mbappé Lottin
2530,68,France,Kylian Mbappé Lottin,Left Wing,Pass,,67,18.1,63.6,23,Antoine Griezmann
2533,68,France,Antoine Griezmann,Center Attacking Midfield,Pass,,63.6,23,76.4,5.7,
2535,68,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,43.7,74.4,41.3,64.3,Enzo Fernandez
2538,68,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,46.9,59.4,57.2,46.2,Alexis Mac Allister
2540,68,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,57.2,46.2,50.9,56.6,Enzo Fernandez
2543,68,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,50.1,55.6,54.4,64.1,Lionel Andrés Messi Cuccittini
2546,68,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,57.6,59.6,48.8,53.9,Enzo Fernandez
2550,68,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,43.9,49.6,39.2,30.8,Nicolás Hernán Otamendi
2553,68,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,40,27.5,50.7,15.4,Nicolás Alejandro Tagliafico
2557,68,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,50.9,11.1,66.8,5.1,Marcos Javier Acuña
2565,68,France,Marcus Thuram,Center Forward,Pass,,70.2,62.2,75.1,68.6,Randal Kolo Muani
2568,68,France,Randal Kolo Muani,Right Wing,Pass,,75.1,68.6,70.2,70.5,Jules Koundé
2571,68,France,Jules Koundé,Right Back,Pass,,70.2,70.5,77.3,57.5,Marcus Thuram
2578,68,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,71.9,62.8,63.8,33.7,Adrien Rabiot
2580,68,France,Adrien Rabiot,Left Defensive Midfield,Pass,,62.9,28.6,77.1,16.8,Kylian Mbappé Lottin
2583,68,France,Kylian Mbappé Lottin,Left Wing,Pass,,79,17,109.4,3.4,Theo Bernard François Hernández
2585,68,France,Theo Bernard François Hernández,Left Back,Pass,,109.6,5.3,111.7,29.7,
2587,68,France,Dayotchanculle Upamecano,Left Center Back,Pass,,67,21.1,69.8,13.6,Adrien Rabiot
2592,69,France,Adrien Rabiot,Left Defensive Midfield,Pass,,62.3,13.6,66.4,21.3,Aurélien Djani Tchouaméni
2596,69,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,77.9,14.3,92.7,15.8,Kylian Mbappé Lottin
2599,69,France,Kylian Mbappé Lottin,Left Wing,Pass,,92.9,15.8,94,10.8,Aurélien Djani Tchouaméni
2609,69,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,17.2,75,29.3,72,Lionel Andrés Messi Cuccittini
2613,69,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,32.6,72.9,73.2,77,Rodrigo Javier De Paul
2615,69,France,Theo Bernard François Hernández,Left Back,Pass,,46.9,3.1,20.2,25.8,Hugo Lloris
2618,69,France,Hugo Lloris,Goalkeeper,Pass,,25.3,32.4,39.4,50.2,Raphaël Varane
2621,69,France,Raphaël Varane,Right Center Back,Pass,,62.5,56.8,57.4,69.5,Jules Koundé
2624,69,France,Jules Koundé,Right Back,Pass,,57.4,69.5,44.6,33.5,Dayotchanculle Upamecano
2627,69,France,Dayotchanculle Upamecano,Left Center Back,Pass,,45,30.3,59.7,10.4,Aurélien Djani Tchouaméni
2630,69,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,69.6,9.3,82.8,3.4,Theo Bernard François Hernández
2633,69,France,Theo Bernard François Hernández,Left Back,Pass,,83.7,4.2,100.8,12.3,Antoine Griezmann
2635,69,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,19.3,67.8,27.2,74.8,Nahuel Molina Lucero
2638,69,Argentina,Nahuel Molina Lucero,Right Back,Pass,,27.2,74.8,19.9,67.1,Cristian Gabriel Romero
2640,69,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,19.9,67.1,39,66.9,
2643,69,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,78.3,17.9,68.1,21.5,Adrien Rabiot
2646,70,France,Adrien Rabiot,Left Defensive Midfield,Pass,,72.6,18.1,81.3,3.4,Theo Bernard François Hernández
2649,70,France,Theo Bernard François Hernández,Left Back,Pass,,81.3,3.4,98.2,3.4,Kylian Mbappé Lottin
2652,70,France,Kylian Mbappé Lottin,Left Wing,Pass,,98.9,8.7,101,12.3,Adrien Rabiot
2658,70,France,Kylian Mbappé Lottin,Left Wing,Shot,Off T,102.5,27.9,120,38.8,
2662,70,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,7,44.1,75.1,7.7,
2663,71,France,Jules Koundé,Right Back,Pass,,45,72.4,54,75.2,Kingsley Coman
2670,71,Argentina,Julián Álvarez,Center Forward,Pass,,75.1,6.6,68.1,13,Alexis Mac Allister
2677,71,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,88.4,15.6,100.1,7.4,Marcos Javier Acuña
2680,71,Argentina,Marcos Javier Acuña,Left Wing,Pass,,100.4,7.4,112.6,14.7,Alexis Mac Allister
2685,71,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,112.6,7.9,99.5,9.6,Lionel Andrés Messi Cuccittini
2688,71,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,106.8,23.9,98.2,31.8,Enzo Fernandez
2691,71,Argentina,Enzo Fernandez,Center Defensive Midfield,Shot,Saved,98.9,32.2,117.8,40.4,
2693,71,France,Hugo Lloris,Goalkeeper,Pass,,10.1,38.6,34.7,18.8,Adrien Rabiot
2696,71,France,Adrien Rabiot,Left Defensive Midfield,Pass,,60,14.5,62.7,4.4,Eduardo Camavinga
2703,71,France,Eduardo Camavinga,Left Back,Pass,,45.2,2.7,35.1,11.5,Dayotchanculle Upamecano
2706,71,France,Dayotchanculle Upamecano,Left Center Back,Pass,,31.5,12.3,34.5,35.7,Raphaël Varane
2709,71,France,Raphaël Varane,Right Center Back,Pass,,43.5,43.8,52,69.9,Jules Koundé
2712,72,France,Jules Koundé,Right Back,Pass,,63.6,70.9,62.7,55.5,Aurélien Djani Tchouaméni
2715,72,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,57.8,45.5,65.1,39.7,Adrien Rabiot
2719,72,France,Adrien Rabiot,Left Defensive Midfield,Pass,,66.8,38.9,48,51.5,Raphaël Varane
2722,72,France,Raphaël Varane,Right Center Back,Pass,,48,51.5,56.5,22.6,Dayotchanculle Upamecano
2725,72,France,Dayotchanculle Upamecano,Left Center Back,Pass,,56.5,22.6,83.9,4.6,Randal Kolo Muani
2729,72,France,Randal Kolo Muani,Right Wing,Pass,,92,8.1,82.4,22,Aurélien Djani Tchouaméni
2732,72,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,83.1,22,105.3,46.8,Kylian Mbappé Lottin
2735,72,France,Eduardo Camavinga,Left Back,Pass,,58.5,0.1,48,5.5,Dayotchanculle Upamecano
2738,72,France,Dayotchanculle Upamecano,Left Center Back,Pass,,54.4,8.3,48,47,Raphaël Varane
2741,72,France,Raphaël Varane,Right Center Back,Pass,,70,52.3,79,74.2,Jules Koundé
2744,72,France,Jules Koundé,Right Back,Pass,,79,74.2,93.7,72.2,Kingsley Coman
2750,72,France,Kingsley Coman,Right Midfield,Pass,,93.5,80,78.3,71.4,Adrien Rabiot
2753,72,France,Adrien Rabiot,Left Defensive Midfield,Pass,,78.3,71.4,82.6,73.7,Kingsley Coman
2756,72,France,Kingsley Coman,Right Midfield,Pass,,83.9,75,61.9,61.8,Raphaël Varane
2759,73,France,Raphaël Varane,Right Center Back,Pass,,61.9,58.8,64.2,34.2,Dayotchanculle Upamecano
2762,73,France,Dayotchanculle Upamecano,Left Center Back,Pass,,82.8,19.2,97.4,21.1,Kylian Mbappé Lottin
2769,74,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,36.4,62.6,92,63.3,
2770,74,France,Dayotchanculle Upamecano,Left Center Back,Pass,,28.1,16.8,45,14.5,
2780,74,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,17.6,76.3,19.7,68,Enzo Fernandez
2783,74,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,19.7,68,33,75.9,Rodrigo Javier De Paul
2786,74,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,45,70.5,90.9,64.8,Julián Álvarez
2790,74,Argentina,Julián Álvarez,Center Forward,Pass,,108.9,74.2,95.9,75.9,Nahuel Molina Lucero
2794,74,Argentina,Nahuel Molina Lucero,Right Back,Pass,,92.9,77,86.7,55.6,
2804,74,France,Kingsley Coman,Right Midfield,Pass,,47.1,29.2,42.6,50.2,Raphaël Varane
2807,74,France,Raphaël Varane,Right Center Back,Pass,,67.4,57.9,79.6,79.7,Jules Koundé
2809,75,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,48.4,0.1,71.9,6.2,Lionel Andrés Messi Cuccittini
2812,75,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,61.4,0.1,56.1,33.3,Julián Álvarez
2815,75,France,Marcus Thuram,Left Midfield,Pass,,54.2,38.2,70.9,59.6,
2819,75,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,59.9,22,81.3,38.2,
2822,75,France,Eduardo Camavinga,Left Back,Pass,,41.6,34.2,54.6,18.5,Marcus Thuram
2825,75,France,Marcus Thuram,Left Midfield,Pass,,62.9,16.4,55.9,32.9,Aurélien Djani Tchouaméni
2828,76,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,78.6,29.7,92.3,15.8,Kylian Mbappé Lottin
2830,76,Argentina,Nahuel Molina Lucero,Right Back,Pass,,27.8,64.3,43.5,61.8,Lionel Andrés Messi Cuccittini
2833,76,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,49,66.5,73,73.7,Rodrigo Javier De Paul
2839,76,Argentina,Nahuel Molina Lucero,Right Back,Pass,,79.4,76.5,64.6,73.3,Lionel Andrés Messi Cuccittini
2841,76,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,85.6,72.7,75.8,68,Nahuel Molina Lucero
2844,76,Argentina,Nahuel Molina Lucero,Right Back,Pass,,75.8,68.2,86.7,75.7,Lionel Andrés Messi Cuccittini
2847,76,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,86.7,76.1,95.9,77.8,Rodrigo Javier De Paul
2851,76,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,95.2,55.4,87.3,55.4,Alexis Mac Allister
2854,76,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,87.3,55.4,80.3,51.3,Enzo Fernandez
2857,76,Argentina,Enzo Fernandez,Center Defensive Midfield,Pass,,80,51.3,87.3,69.7,Lionel Andrés Messi Cuccittini
2860,77,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,92.9,64.8,108.5,59.2,Rodrigo Javier De Paul
2864,77,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,112.1,59.8,117.9,42.1,Marcos Javier Acuña
2867,77,France,Hugo Lloris,Goalkeeper,Pass,,13.7,42.7,82.2,55.3,
