Index,Minute,Team,Player,Position,Type,Shot outcome,Origin_Xcoord,Origin_Ycoord,Destination_Xcoord,Destination_Ycoord,Pass_Recipient
1819,46,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,42.4,73.9,29.6,55.5,Raphaël Varane
1823,46,France,Raphaël Varane,Right Center Back,Pass,,24.4,55.5,36.2,33.3,Dayotchanculle Upamecano
1826,46,France,Dayotchanculle Upamecano,Left Center Back,Pass,,43.5,30.3,54.8,38.4,Aurélien Djani Tchouaméni
1830,46,France,Aurélien Djani Tchouaméni,Right Defensive Midfield,Pass,,56.1,32,51,3.4,Theo Bernard François Hernández
1833,46,France,Theo Bernard François Hernández,Left Back,Pass,,52.7,3.1,70.4,2.7,Marcus Thuram
1835,46,France,Marcus Thuram,Left Wing,Pass,,70.4,2.7,52,6.4,Theo Bernard François Hernández
1838,47,France,Theo Bernard François Hernández,Left Back,Pass,,51.8,7.4,38.1,38,Raphaël Varane
1841,47,France,Raphaël Varane,Right Center Back,Pass,,39,42.9,39.4,57,Jules Koundé
1844,47,France,Jules Koundé,Right Back,Pass,,39.4,57,39.6,50.2,Raphaël Varane
1847,47,France,Raphaël Varane,Right Center Back,Pass,,46.7,48.5,43.3,21.1,Dayotchanculle Upamecano
1850,47,France,Dayotchanculle Upamecano,Left Center Back,Pass,,46,28.6,99.5,14.5,Marcus Thuram
1852,47,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,20.6,65.6,29.6,69.7,Rodrigo Javier De Paul
1854,47,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,29.3,69.7,2,59.8,Damián Emiliano Martínez
1858,47,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,16.3,50.9,95.4,80,Julián Álvarez
1860,47,France,Theo Bernard François Hernández,Left Back,Pass,,25.3,0.1,49.9,3.6,Marcus Thuram
1865,48,Argentina,Nahuel Molina Lucero,Right Back,Pass,,79.4,80,100.4,65.2,Lionel Andrés Messi Cuccittini
1867,48,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,100.4,65.2,102.1,54.1,
1872,48,France,Raphaël Varane,Right Center Back,Pass,,18.7,36.3,6,40.8,Hugo Lloris
1874,48,France,Hugo Lloris,Goalkeeper,Pass,,6,40.8,43.9,51.5,Randal Kolo Muani
1879,48,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,79.8,14.9,96.1,13.2,
1880,48,France,Jules Koundé,Right Back,Pass,,24,66.9,33.9,73.9,Randal Kolo Muani
1884,48,France,Randal Kolo Muani,Right Wing,Pass,,36.4,71.8,36.9,66.7,Jules Koundé
1903,48,France,Jules Koundé,Right Back,Pass,,52.3,75.2,56.7,47.8,Kylian Mbappé Lottin
1907,48,Argentina,Cristian Gabriel Romero,Right Center Back,Pass,,69.8,35,78.8,44,Lionel Andrés Messi Cuccittini
1911,48,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,81.3,32.9,99.7,22.4,Ángel Fabián Di María Hernández
1914,48,Argentina,Ángel Fabián Di María Hernández,Left Wing,Pass,,106.8,20.9,103.3,52.3,Rodrigo Javier De Paul
1916,48,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Shot,Saved,103.3,52.3,117.6,41.6,
